wallet,total_transactions,total_volume_eth,active_days,unique_contracts,avg_transaction_amount_eth,median_transaction_amount_eth,p90_transaction_amount_eth,large_tx_ratio,micro_tx_ratio,zero_value_tx_ratio,night_ratio,early_morning_ratio,daytime_ratio,weekend_ratio,pct_hour_0,pct_hour_1,pct_hour_2,pct_hour_3,pct_hour_4,pct_hour_5,pct_hour_6,pct_hour_7,pct_hour_8,pct_hour_9,pct_hour_10,pct_hour_11,pct_hour_12,pct_hour_13,pct_hour_14,pct_hour_15,pct_hour_16,pct_hour_17,pct_hour_18,pct_hour_19,pct_hour_20,pct_hour_21,pct_hour_22,pct_hour_23,dst_mode_hour,non_dst_mode_hour,tx_hour_variance,avg_tx_hour_period1,avg_tx_hour_period2,avg_tx_hour_period3,avg_tx_hour_period4,avg_tx_hour_period5,avg_tx_hour_period6,avg_gas_price,median_gas_price,p90_gas_price,gas_price_stddev,avg_tx_fee_eth,avg_tx_per_day,days_since_last_tx,wallet_life_days,wallet_age_days,unique_contracts_ratio,usdt_count,usdc_count,dai_count,stablecoin_diversity,usdt_vs_usdc_ratio,dex_count,lending_count,nft_count,bridge_count,dex_ratio,top1_token,top1_token_count,top2_token,top2_token_count,top3_token,top3_token_count,top4_token,top4_token_count,top5_token,top5_token_count,top6_token,top6_token_count,top7_token,top7_token_count,top8_token,top8_token_count,top9_token,top9_token_count,top10_token,top10_token_count,top1_namespace,top1_namespace_count,top2_namespace,top2_namespace_count,top3_namespace,top3_namespace_count,top4_namespace,top4_namespace_count,top5_namespace,top5_namespace_count,top6_namespace,top6_namespace_count,top7_namespace,top7_namespace_count,top8_namespace,top8_namespace_count,top9_namespace,top9_namespace_count,top10_namespace,top10_namespace_count,top1_cex,top1_cex_region,top1_cex_count,top2_cex,top2_cex_region,top2_cex_count,top3_cex,top3_cex_region,top3_cex_count,top4_cex,top4_cex_region,top4_cex_count,top5_cex,top5_cex_region,top5_cex_count,cex_interaction_type,data_quality,domain_name
0x0bd763841668b2de7b9204059dfb1413aa2dfe8a,50.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24,0.16,0.6,0.32,0.04,0.02,0.08,0.02,0.02,0.06,0.04,0.06,,0.04,0.02,0.06,0.06,0.12,0.08,0.06,0.04,0.02,0.08,,0.02,,0.02,0.04,13.0,,6.189161032459431,10.979999999999997,,10.979999999999997,,,10.979999999999997,3000000000.0,3000000000.0,3000000000.0,0.0,0.00012392124,2.083333333333333,4.0,52.0,56.0,0.02,50.0,0.0,0.0,1.0,,,,,,,USDT,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0x12b55b0bf5911a99ef57748020afd903725adaf6,50.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12,0.02,0.72,0.32,,,0.02,,0.04,0.06,0.1,0.06,0.04,0.06,0.06,0.08,0.12,0.02,0.06,0.12,0.1,0.02,0.04,,,,,,,,4.2474962613045255,11.028571428571428,10.466666666666669,11.857142857142858,10.0,10.86,,2224435182.08,2000000000.0,2000000000.0,1586996391.856055,9.191031293654272e-05,1.9230769230769231,65.0,37.0,102.0,0.02,50.0,0.0,0.0,1.0,,,,,,,USDT,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xb9fe5b122c956a0baf7571273c14fd88ee6b9b57,50.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.38,0.36,0.46,0.28,0.12,0.08,0.08,0.08,,0.02,0.02,0.06,0.08,0.04,,0.02,,,0.06,0.06,0.04,0.08,0.04,,0.04,0.02,,0.06,,,7.548482750641661,9.92307692307692,8.833333333333334,9.208333333333336,9.70833333333333,9.633333333333336,9.05,3168771400.64,3000000000.0,5000000000.0,1515379891.194992,0.000130881017789,1.4285714285714286,69.0,203.0,272.0,0.02,50.0,0.0,0.0,1.0,,,,,,,USDT,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0x43c6784d1f95e9ed480ef0b43961180177ea822a,50.0,0.233310498,35.0,2.0,0.00466621,0.0,0.0,0.0,0.98,0.94,0.4,0.28,0.44,0.2,0.04,0.08,0.06,0.1,0.02,0.1,0.02,,0.06,0.02,0.02,,0.02,0.02,,,,0.06,0.08,0.1,0.06,0.06,0.04,0.04,,,8.070328622902084,12.458333333333334,9.999999999999998,12.458333333333334,9.999999999999998,10.033333333333331,12.9,852437556.74,260780619.0,2308969633.0,1357321330.5576613,3.341826941085036e-05,1.4285714285714286,92.0,434.0,526.0,0.04,47.0,0.0,0.0,1.0,,,,,,,USDT,47,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xc98b50d0830ce82d62ca71374e95db4db8aa71e1,50.0,0.013600321,33.0,8.0,0.000272006,0.0,0.0,0.0,1.0,0.9,0.24,0.24,0.52,0.26,0.1,0.14,,,,,,,,,,0.06,,,0.02,0.06,0.02,0.08,0.12,,0.16,0.1,0.14,,,20.0,8.216459339741947,14.0,14.204081632653056,,14.204081632653056,14.199999999999994,,1184631361.96,1073249639.0,1490833772.0,290488456.84399426,7.492183892715785e-05,1.5151515151515151,80.0,124.0,204.0,0.16,41.0,0.0,0.0,1.0,,,,,,,USDT,41,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0x6676420195bda7b40d32200cb1804e03c5edb200,50.0,0.000143671,33.0,3.0,2.873e-06,0.0,0.0,0.0,1.0,0.98,0.48,0.4,0.38,0.5,0.12,0.08,0.14,0.06,0.02,0.06,,0.02,,0.02,,,,,0.04,0.02,,0.1,0.04,0.1,0.06,0.06,0.04,0.02,,,8.562590681778119,12.2,5.6,11.937499999999998,5.6,8.904761904761907,11.172413793103448,413236629.6999999,152262191.0,971151211.0,797144595.8059187,2.3409231001800136e-05,1.5151515151515151,3.0,472.0,475.0,0.06,38.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,USDT,38,,0,,0,,0,,0,,0,,0,,0,,0,,0,yield,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xfcf0d5977fae7d190d143ce45e2946cc805e2146,50.0,17.608902822,37.0,14.0,0.352178056,0.0,0.02,0.04,0.8,0.72,0.46,0.4,0.32,0.34,0.04,0.12,0.04,0.2,0.06,,,,,,,,,,,0.02,0.04,0.02,0.06,0.06,0.12,0.1,0.06,0.06,,,9.018823852003615,11.947368421052632,11.083333333333332,12.189189189189191,10.46153846153846,7.65,14.466666666666669,1613624141.5599997,1255335268.0,2090980114.0,1046202623.3508807,9.669719205612408e-05,1.351351351351351,137.0,203.0,340.0,0.28,36.0,0.0,0.0,1.0,,,,,,,USDT,36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xdd3cc193a1b9ff796a2dbb9a9aca4c4e77abf903,50.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.04,0.0,0.82,0.08,,,,,,0.04,0.08,0.06,0.02,0.14,0.08,0.06,0.04,0.04,0.08,0.02,0.08,0.16,0.02,0.04,0.04,,,,,,4.432901109307307,10.476190476190474,13.6551724137931,11.055555555555555,13.161290322580644,12.815789473684212,10.75,1273968472.6400006,1099182226.0,1555545442.0,437555519.32452416,6.093666166249688e-05,1.4705882352941178,3.0,220.0,223.0,0.02,50.0,0.0,0.0,1.0,,,,,,,USDT,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0x5adc8d6e7e5288311e1462970e801fa38a0ddc52,50.0,9.5473,39.0,7.0,0.190946,0.0,0.0,0.02,0.94,0.9,0.26,0.18,0.64,0.28,0.02,0.06,,0.1,0.08,,0.08,0.02,0.12,0.1,0.06,0.08,0.08,0.1,0.06,0.04,,,,,,,,,,,4.187493527256648,9.13888888888889,6.285714285714286,9.114285714285716,6.153846153846153,6.166666666666667,9.562499999999998,435573511.66000015,243357790.0,1105749211.0,446336055.6272992,2.3083670990589702e-05,1.2820512820512822,1.0,244.0,245.0,0.14,41.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,USDT,41,,0,,0,,0,,0,,0,,0,,0,,0,,0,yield,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xe45162edc119fca8bfefe14b1dcdf921a3311ea6,50.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.28,0.22,0.36,0.32,0.04,0.02,0.1,0.06,0.06,,0.02,0.04,,0.06,0.04,0.02,,0.04,0.02,0.08,,,,0.04,0.06,0.1,0.16,0.04,,,8.107064190933631,12.434782608695652,12.925925925925926,13.533333333333331,12.960000000000004,13.022222222222224,9.8,460363804.04,251486555.0,479152727.0,1018305793.4124498,1.9017110036229166e-05,1.1363636363636365,10.0,154.0,164.0,0.02,50.0,0.0,0.0,1.0,,,,,,,USDT,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
