wallet,pct_poly_c0,pct_poly_c1,pct_poly_c2,pct_poly_c3,avg_transaction_amount_eth,large_tx_ratio,micro_tx_ratio,night_ratio,early_morning_ratio,daytime_ratio,weekend_ratio,avg_tx_hour_period1,avg_tx_hour_period2,avg_tx_hour_period3,avg_tx_hour_period4,tx_hour_variance,avg_gas_price,avg_tx_fee_eth,wallet_age_days,active_days,avg_tx_per_day,dex_count,lending_count,nft_count,bridge_count,top1_token,top1_token_count,top2_token,top2_token_count,top3_token,top3_token_count,top4_token,top4_token_count,top5_token,top5_token_count,top1_namespace,top1_namespace_count,top2_namespace,top2_namespace_count,top3_namespace,top3_namespace_count,top4_namespace,top4_namespace_count,top5_namespace,top5_namespace_count,top6_10_token_total_count,top6_10_token_diversity,top6_10_token_ratio,top6_10_namespace_total_count,top6_10_namespace_diversity,top6_10_namespace_ratio,top1_cex_region,top1_cex_count,top2_cex_region,top2_cex_count,cex_interaction_type,has_multiple_cex_regions,final_label
0xe93b1885cf682ce2a1d87cb9e5e9e0a46a10552c,0.06188942473645102,-0.10495393392316771,-0.0659437768579925,0.1667304977225748,0.035944049,0.004291845,0.74248927,0.163090129,0.004291845,0.553648069,0.416309013,10.41618497,9.933333333,10.40361446,9.765625,5.298078094,17306359969.0,0.001883505,1944.0,111.0,2.099099099,9.0,0.0,0.0,0.0,WETH,3.0,USDT,1.0,,0.0,,0.0,,0.0,dex,9.0,launchpad,2.0,yield,1.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Europe,1.0,,0.0,has_cex_interaction,1,Europe
0xe94c0ba02ec86ccdea4ce6abf09b4f36da926b6b,0.04932761455965908,-0.013879502297335236,-0.02498135114562747,-0.0037339946707148183,0.08575265,0.011299435,0.683615819,0.316384181,0.209039548,0.559322034,0.350282486,10.49565217,9.177419355,10.72115385,8.971830986,6.243085543,71522120266.0,0.00885745,1769.0,63.0,2.80952381,3.0,0.0,2.0,0.0,WETH,8.0,,0.0,,0.0,,0.0,,0.0,dex,3.0,nft,2.0,liquid_staking,2.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Asia and Pacific,16.0,,0.0,has_cex_interaction,1,Asia and Pacific
0xe94fc14ba038a5cef4fb926dbe599f69e14107b5,0.04348776235751747,-0.019546935433340976,-0.005938355241904861,0.028047720767662463,0.057896522,0.002994012,0.574850299,0.269461078,0.140718563,0.511976048,0.431137725,11.50243902,10.51937984,11.48768473,10.51162791,6.800451996,23630130967.0,0.002846434,1563.0,163.0,2.049079755,0.0,0.0,78.0,0.0,WETH,52.0,,0.0,,0.0,,0.0,,0.0,nft,78.0,,0.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Asia and Pacific,19.0,Asia and Pacific,6.0,has_cex_interaction,0,Asia and Pacific
0xe95644ab39448ad59af192e6f3354c0deb8d51c2,0.020535171254589157,0.05071378893577461,0.06890705012090485,-0.0781314982045493,0.303431823,0.074534161,0.587991718,0.347826087,0.277432712,0.434782609,0.269151139,14.33742331,11.121875,14.54074074,11.24411765,8.178924447,98656177073.0,0.00998258,1692.0,123.0,3.926829268,44.0,0.0,0.0,0.0,WETH,46.0,FTM,2.0,,0.0,,0.0,,0.0,dex,44.0,launchpad,13.0,social,5.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Africa and Middle East,4.0,,0.0,has_cex_interaction,1,Africa and Middle East
0xe95a31e67d6857f67d5c409409269206b90ecd0a,0.06308730332626747,-0.17466620461972893,-0.06984990228674175,0.23072220345372102,0.122408847,0.010416667,0.956845238,0.318452381,0.089285714,0.455357143,0.063988095,7.33530572,6.460606061,7.333333333,6.447058824,3.024302116,105136000000.0,0.004830917,2920.0,103.0,6.524271845,2.0,0.0,0.0,0.0,FTB,599.0,USDT,6.0,TRI,2.0,,0.0,,0.0,dex,2.0,liquid_staking,1.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Asia and Pacific,2.0,Asia and Pacific,1.0,has_cex_interaction,0,Asia and Pacific
0xe9701d600649195af88332b513b0cc8314a206d8,0.030969416355113626,0.05256307924271339,0.034882337836585925,-0.08045878343902431,0.033872434,0.012345679,0.703703704,0.259259259,0.209876543,0.518518519,0.185185185,12.32758621,12.08695652,11.8,13.23076923,7.605553526,43385054665.0,0.005325406,1872.0,47.0,1.723404255,1.0,0.0,2.0,0.0,USDT,4.0,,0.0,,0.0,,0.0,,0.0,yield,8.0,nft,2.0,dex,1.0,,0.0,,0.0,0.0,1,0,0.0,1,0,North America,1.0,,0.0,has_cex_interaction,1,North America
0xe9761f0581a69d47ade6d3f6ebed3b2d34c66750,0.04808252642263984,-0.08401683316695384,-0.020921281812956046,0.12396480769758629,0.257122801,0.051282051,0.435897436,0.153846154,0.102564103,0.41025641,0.102564103,9.962962963,10.25,9.962962963,10.25,6.402913473,103380000000.0,0.008767995,1705.0,7.0,5.571428571,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,dex,2.0,social,1.0,yield,1.0,,0.0,,0.0,0.0,1,0,0.0,1,0,North America,1.0,,0.0,has_cex_interaction,1,North America
0xe97668f701cadd46317a049d3b007dfc914625c0,0.060899476266826895,0.014612370719760898,-0.06271568307117471,-0.026538631714490793,0.043560461,0.007688083,0.724327293,0.17682592,0.101592532,0.684788578,0.345414607,11.16337386,12.37623762,11.15690867,12.35316699,5.50740011,19237528886.0,0.001635505,3116.0,608.0,2.995065789,3.0,0.0,51.0,2.0,WETH,43.0,ORBS,8.0,USDT,8.0,LOA,5.0,FDZ,2.0,nft,51.0,dex,3.0,liquid_staking,3.0,yield,2.0,bridge,2.0,5.0,5,0,0.0,1,0,Asia and Pacific,5.0,Asia and Pacific,2.0,has_cex_interaction,0,Asia and Pacific
0xe97ec938e1d189b8594279d57ca5e77b99a19e21,0.036892085259615376,0.04440151488365515,0.015569287468645462,-0.11956021688793711,0.075310764,0.036363636,0.763636364,0.436363636,0.327272727,0.527272727,0.4,10.26470588,8.333333333,10.84375,8.142857143,7.020748471,65667921933.0,0.00733778,1742.0,41.0,1.341463415,0.0,0.0,1.0,0.0,WETH,2.0,,0.0,,0.0,,0.0,,0.0,nft,1.0,,0.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,North America,5.0,,0.0,has_cex_interaction,1,North America
0xe9824b2a83ac309bd26dc247e22e7838450776b0,0.024399170026223778,0.03883348251516699,0.056307054262313715,-0.03448803786101677,0.011463464,0.0,0.843373494,0.319277108,0.174698795,0.469879518,0.156626506,12.54676259,17.33333333,12.6875,17.33333333,7.794494458,33939927405.0,0.00465944,1647.0,90.0,1.844444444,0.0,0.0,0.0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,social,1.0,bridge,1.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,North America,4.0,,0.0,has_cex_interaction,1,North America
0xe99719d39483f699f6dc19193f7ec043569dd30f,0.06263310923098774,0.016009021455573823,-0.06836883458474265,-0.005680715490488155,0.16292594,0.028462998,0.781783681,0.060721063,0.017077799,0.740037951,0.288425047,12.97714286,12.10734463,12.95061728,12.46875,5.232196242,100975000000.0,0.009322007,2135.0,174.0,3.028735632,172.0,0.0,0.0,0.0,WETH,19.0,USDT,10.0,SWFL,2.0,BFR,1.0,LPT,1.0,dex,172.0,launchpad,164.0,yield,6.0,,0.0,,0.0,5.0,5,0,0.0,1,0,Europe,2.0,,0.0,has_cex_interaction,1,Europe
0xe999bef78430ff0bbe6ef9cd41737e4a4e166f76,0.02673867239488636,0.09421595624473256,0.04867824232645746,-0.10983898246673518,0.035649234,0.0,0.650684932,0.212328767,0.171232877,0.568493151,0.171232877,13.33846154,15.61728395,12.53333333,16.04651163,7.232569489,36695591186.0,0.003910721,1755.0,58.0,2.517241379,0.0,0.0,17.0,0.0,WETH,12.0,,0.0,,0.0,,0.0,,0.0,nft,17.0,,0.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,North America,6.0,,0.0,has_cex_interaction,1,North America
0xe9a83089c6b5af2a8d4d00dc82ccf23ca7d9cd16,0.005313332054414351,-0.007843576201495523,0.11854348229538794,-0.02469483330443333,0.063809219,0.012552301,0.851464435,0.558577406,0.435146444,0.219665272,0.282426778,10.04597701,8.903225806,10.23109244,8.635135135,8.800984608,21201430421.0,0.001774263,1657.0,199.0,2.40201005,2.0,0.0,7.0,0.0,WETH,22.0,USDT,6.0,GREEN,1.0,,0.0,,0.0,yield,9.0,nft,7.0,launchpad,2.0,dex,2.0,,0.0,0.0,1,0,0.0,1,0,North America,1.0,,0.0,has_cex_interaction,1,North America
0xe9b500daadd8e37ae5c17ae74241c0cd9e19f75d,0.028053022180725536,0.06864825479486489,0.04439231911176452,-0.07862181220922589,0.366054481,0.027972028,0.762237762,0.251748252,0.188811189,0.517482517,0.230769231,14.98305085,13.02380952,15.23076923,12.87640449,7.437993458,36416023579.0,0.003713423,1988.0,72.0,1.986111111,4.0,5.0,0.0,0.0,WETH,14.0,USDT,9.0,,0.0,,0.0,,0.0,yield,23.0,lending,5.0,dex,4.0,launchpad,3.0,social,1.0,0.0,1,0,0.0,1,0,North America,1.0,,0.0,has_cex_interaction,1,North America
0xe9b80b4cf85d7709583dff27c1f51b289cd1e152,0.035585647770323414,0.079276988744532,0.019829409852206176,-0.10411549955151486,0.310906504,0.050738447,0.750357313,0.220819438,0.175321582,0.602667937,0.261076703,13.5044501,13.55988593,13.43595579,13.79276018,7.02994188,63032677996.0,0.010286983,2256.0,523.0,8.026768642,696.0,9.0,43.0,1.0,WETH,135.0,SNX,40.0,USDT,30.0,WBTC,29.0,sUSD,19.0,dex,696.0,launchpad,150.0,yield,97.0,nft,43.0,lending,9.0,32.0,5,0,10.0,4,0,North America,3.0,,0.0,has_cex_interaction,1,North America
0xe9c30a76e744c6680cccba2b0cbb2a511e3a3029,0.030638695717438817,-0.0448079201190844,0.03596077442682993,0.0588341122699408,0.143134962,0.042316258,0.775055679,0.369710468,0.220489978,0.325167038,0.213808463,11.37916667,9.186602871,11.37662338,9.112676056,7.538779133,76156145101.0,0.009324637,1948.0,112.0,4.008928571,21.0,0.0,11.0,0.0,WETH,4.0,USDT,2.0,RFD,1.0,XYO,1.0,,0.0,dex,21.0,yield,14.0,nft,11.0,social,5.0,liquid_staking,4.0,0.0,1,0,0.0,1,0,North America,5.0,,0.0,has_cex_interaction,1,North America
0xe9c52d47ae72a15b3074004315dc0a86df5c38c4,0.04954623635008739,0.028570427397794647,-0.025694248695937227,0.011905916334089378,0.019296901,0.0,0.861788618,0.056910569,0.024390244,0.682926829,0.113821138,14.8245614,13.55555556,12.97222222,15.45977011,5.523531139,114543000000.0,0.007796091,1798.0,25.0,4.92,0.0,0.0,0.0,0.0,WETH,4.0,,0.0,,0.0,,0.0,,0.0,social,1.0,,0.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Europe,4.0,,0.0,has_cex_interaction,1,Europe
0xe9d498434b722855f14388fb2d734c4bbefaaae1,0.041759839101835644,-0.03335402081245847,-0.00030382315815979195,0.03721275491818968,0.010823052,0.0,0.805232558,0.290697674,0.180232558,0.441860465,0.276162791,9.918699187,11.31632653,10.02978723,10.85714286,6.823997744,36125453351.0,0.003549436,2079.0,164.0,2.097560976,51.0,0.0,2.0,1.0,USDT,13.0,BULLISH,2.0,SIMF,1.0,WBTC,1.0,,0.0,dex,51.0,launchpad,47.0,yield,4.0,nft,2.0,bridge,1.0,0.0,1,0,1.0,2,0,Africa and Middle East,1.0,,0.0,has_cex_interaction,1,Africa and Middle East
0xe9d4da7ec3b83a4f795b3caffbee6889c7916541,0.04627836204086537,-0.09838383211328429,-0.015038136953908869,0.08521452531157149,0.004459334,0.0,0.902877698,0.456834532,0.327338129,0.366906475,0.284172662,6.64978903,7.43902439,6.588983051,7.324324324,4.622110634,7426275546.0,0.000795543,1584.0,132.0,2.106060606,3.0,0.0,0.0,1.0,USDT,26.0,WETH,4.0,Nvir,3.0,,0.0,,0.0,yield,9.0,dex,3.0,bridge,1.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Asia and Pacific,1.0,,0.0,has_cex_interaction,1,Asia and Pacific
0xe9d7492568e3de4bc5c6842d0a0707625111df01,0.056008832432692286,-0.014414471854670598,-0.04676793211747488,-0.0022101368755665534,0.227930585,0.053745928,0.682410423,0.273615635,0.153094463,0.623778502,0.283387622,11.10601719,8.686792453,11.15542522,8.676806084,5.725027082,49785260270.0,0.006131706,3152.0,236.0,2.601694915,4.0,2.0,24.0,0.0,USDT,48.0,WETH,46.0,LEND,3.0,WBTC,3.0,KNC,2.0,nft,24.0,yield,8.0,liquid_staking,8.0,social,6.0,dex,4.0,7.0,5,0,3.0,3,0,Africa and Middle East,14.0,,0.0,has_cex_interaction,1,Africa and Middle East
0xe9d80dbf12c0319198df05cc7a669fe51e91eafe,0.059615384615384584,-0.016230260614318558,-0.058528428093645446,0.054339615028020774,0.234957609,0.04,0.72,0.04,0.0,0.7,0.04,11.87096774,14.21052632,11.87096774,14.21052632,5.523825944,41955613373.0,0.005916584,1496.0,13.0,3.846153846,0.0,0.0,0.0,0.0,XDCE,1.0,DAG,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Europe,9.0,,0.0,has_cex_interaction,1,Europe
0xe9e094a73a39f1ef3933e1a72f7b3612be70d63b,0.03358957224890734,0.06480249334675313,0.026338351226389063,-0.12057117762046855,0.110439489,0.019607843,0.607843137,0.333333333,0.215686275,0.509803922,0.549019608,9.52,13.11538462,8.045454545,13.40740741,7.509523365,31098767583.0,0.003616801,1400.0,19.0,2.684210526,0.0,0.0,1.0,0.0,LDO,1.0,,0.0,,0.0,,0.0,,0.0,liquid_staking,2.0,yield,2.0,nft,1.0,,0.0,,0.0,0.0,1,0,0.0,1,0,North America,1.0,,0.0,has_cex_interaction,1,North America
0xe9e35747495bdc8bb846906581f2589fce7dfb7a,0.04014551636756992,0.07486733160522098,0.004960272986184966,-0.022166409362138026,0.102027314,0.029411765,0.705882353,0.0,0.0,0.676470588,0.382352941,17.26470588,-1.0,17.4516129,-1.0,4.069910456,27108774621.0,0.002576848,808.0,8.0,4.25,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Europe,1.0,,0.0,has_cex_interaction,1,Europe
0xe9e71babbf2dabeb69bc35ca072395897b8988ad,0.030019088032779712,0.09875721885544168,0.03798123494745741,-0.15576025737652205,0.10972906,0.020408163,0.734693878,0.244897959,0.244897959,0.551020408,0.265306122,10.14285714,14.60714286,9.5,14.89655172,7.638182816,67068994102.0,0.012148341,1790.0,29.0,1.689655172,2.0,0.0,0.0,0.0,WETH,2.0,LINK,1.0,,0.0,,0.0,,0.0,yield,3.0,dex,2.0,liquid_staking,1.0,,0.0,,0.0,0.0,1,0,0.0,1,0,North America,2.0,,0.0,has_cex_interaction,1,North America
0xe9ef86ff27a361c42aebf6aaeb876f229ac523dd,0.02438232724431818,-0.025115067712314528,0.05636197637722326,0.036025805754145906,0.055679799,0.007352941,0.713235294,0.308823529,0.220588235,0.367647059,0.213235294,11.453125,10.625,11.36507937,10.625,7.998134314,64273131651.0,0.007789354,1755.0,74.0,1.837837838,6.0,0.0,6.0,1.0,WETH,9.0,,0.0,,0.0,,0.0,,0.0,nft,6.0,dex,6.0,liquid_staking,2.0,yield,1.0,bridge,1.0,0.0,1,0,1.0,2,0,North America,2.0,,0.0,has_cex_interaction,1,North America
0xe9f26c6f208a73223c09882a6c00576a10d657ec,0.04870432010227271,0.052403829429849884,-0.022948869626976287,-0.04305366564691179,0.033000562,0.0,0.505376344,0.096774194,0.075268817,0.709677419,0.225806452,14.05555556,14.25641026,14.23529412,14.375,5.906134243,52942381487.0,0.004641934,1739.0,70.0,1.328571429,0.0,0.0,1.0,0.0,WETH,3.0,,0.0,,0.0,,0.0,,0.0,nft,1.0,,0.0,,0.0,,0.0,,0.0,0.0,1,0,0.0,1,0,Africa and Middle East,2.0,,0.0,has_cex_interaction,1,Africa and Middle East
